"Category","Rating","Rating.Count","Size","DaysLastUpdate","ReleasedDays","AppNameLen","Installs"
"Game",2.1,2.63905732961526,1.19392246847243,1059,1062,35,6.82437367004309
"Lifestyle",5,1.94591014905531,2.63905732961526,432,432,17,5.605802066296
"Game",3.1,3.61091791264422,3.58351893845611,2205,2205,18,8.33926198292358
"Lifestyle",4.6,7.69621263934641,4.43081679884331,48,629,12,11.620747947499
"Lifestyle",3.9,3.68887945411394,3.49650756146648,7,313,48,8.43793351043061
"Productivity",4.3,6.06610809010375,1.58923520511658,709,722,26,9.87199688544476
"Entertainment",3.9,3.61091791264422,2.63905732961526,109,217,31,9.10108338603923
"SocialMedia",5,3.76120011569356,1.54756250871601,427,1641,25,5.4510384535657
"Lifestyle",4.6,4.7361984483945,1.3609765531356,828,1613,33,9.05204779298159
"Lifestyle",3.6,6.99759598298193,2.99573227355399,993,2539,13,14.7456051762985
"Lifestyle",4.8,3.04452243772342,2.99573227355399,43,212,20,6.7202201551353
"Game",3.6,2.83321334405622,3.29583686600433,975,975,43,7.86018505747217
"SocialMedia",4.6,2.484906649788,4.00733318523247,3,71,10,8.14177220465645
"Entertainment",4,3.36729582998647,2.00148000021012,1379,1490,29,9.23239536275701
"Educational",4.7,1.94591014905531,1.85629799036563,867,1296,27,6.35957386867238
"Game",4.2,4.4188406077966,2.11625551480255,125,125,29,9.17864328523293
"Educational",3.2,2.39789527279837,2.484906649788,1813,1963,30,8.27333659850449
"Entertainment",3.4,4.49980967033027,2.04122032885964,852,852,17,11.2554492345755
"Entertainment",4.3,4.89034912822175,4.24849524204936,12,1461,47,9.59103453109243
"Entertainment",5,2.83321334405622,1.54756250871601,485,486,18,3.55534806148941
"Entertainment",5,2.30258509299405,3.09104245335832,493,1476,10,2.70805020110221
"Lifestyle",4,2.19722457733622,1.82454929205105,707,2077,10,7.39572160860205
"SocialMedia",4.4,6.1527326947041,2.14006616349627,322,865,39,11.9057307749316
"Lifestyle",4.1,4.4188406077966,0.294905917541101,1237,3212,15,9.56170122109115
"Lifestyle",5,1.79175946922805,1.97408102602201,392,397,12,3.95124371858143
"Educational",4.4,5.50938833662798,2.94443897916644,22,3519,13,15.7418845413622
"Educational",4.5,4.89034912822175,2.83321334405622,278,1516,24,9.29761838008324
